away,home,away_score,home_score,source
Akron,Wake Forest,16,38,espn
Arkansas State,Memphis,24,42,espn
Ball State,Ohio State,3,56,espn
Baylor,Auburn,16,17,espn
Boise State,Oregon,27,34,espn
Boston College,Cincinnati,15,34,espn
Clemson,LSU,10,51,espn
Coastal Carolina,West Virginia,24,31,espn
Colorado,Georgia Tech,14,13,espn
East Carolina,Alabama,10,48,espn
Fresno State,USC,0,39,espn
Idaho,Utah,14,66,espn
Indiana State,Purdue,19,44,espn
Louisville,Ole Miss,38,41,espn
Miami (FL),Stanford,45,6,espn
Miami (OH),Pittsburgh,14,59,espn
New Hampshire,Syracuse,3,66,espn
North Alabama,Arkansas,14,31,espn
North Texas,Indiana,16,52,espn
Northern Illinois,Iowa,0,40,espn
Ohio,Nebraska,21,49,espn
Oregon State,Houston,20,33,espn
SMU,Florida State,27,24,espn
Texas State,Texas,7,59,espn
Toledo,Michigan State,20,30,espn
UAB,Illinois,23,42,espn
UCLA,California,45,24,espn
UTEP,Oklahoma,0,51,espn
VMI,Virginia Tech,3,73,espn
Washington State,Washington,10,24,espn
Wisconsin,Notre Dame,13,41,espn
Youngstown State,Kentucky,13,45,espn
